AÑO	Mes	# MES	WEEK	FECHA	CL#	TIPO DE CAJA	CONTAINERS
2025	mayo	5	21	1/5/2025	ME014	208	5
2025	mayo	5	21	1/5/2025	ME014	22XU	15
2025	mayo	5	22	1/5/2025	ME001	208	7
2025	mayo	5	22	1/5/2025	ME001	22XU	1
2025	mayo	5	22	1/5/2025	ME005	208	7
2025	mayo	5	22	1/5/2025	ME006	22XU	4
2025	mayo	5	22	1/5/2025	ME012	22XU	4
2025	junio	6	23	1/6/2025	ME001	208	7
2025	junio	6	23	1/6/2025	ME001	22XU	1
2025	junio	6	23	1/6/2025	ME005	208	7
2025	junio	6	23	1/6/2025	ME006	22XU	4
2025	junio	6	23	1/6/2025	ME012	22XU	4
2025	junio	6	23	1/6/2025	ME014	22XU	10
2025	junio	6	24	1/6/2025	ME001	208	7
2025	junio	6	24	1/6/2025	ME001	22XU	1
2025	junio	6	24	1/6/2025	ME005	208	7
2025	junio	6	24	1/6/2025	ME006	22XU	4
2025	junio	6	24	1/6/2025	ME012	22XU	4
2025	junio	6	24	1/6/2025	ME014	22XU	5
2025	junio	6	25	1/6/2025	ME001	208	7
2025	junio	6	25	1/6/2025	ME001	22XU	1
2025	junio	6	25	1/6/2025	ME005	208	7
2025	junio	6	25	1/6/2025	ME006	22XU	4
2025	junio	6	25	1/6/2025	ME012	22XU	4
2025	junio	6	25	1/6/2025	ME014	22XU	15
2025	junio	6	26	1/6/2025	ME006	22XU	4
2025	junio	6	26	1/6/2025	ME008	208	14
2025	junio	6	26	1/6/2025	ME008	22XU	1
2025	junio	6	26	1/6/2025	ME012	22XU	4
2025	junio	6	26	1/6/2025	ME014	22XU	15
2025	junio	6	27	1/6/2025	ME008	208	4
2025	junio	6	27	1/6/2025	ME014	22XU	9
2025	julio	7	27	1/7/2025	ME006	22XU	3
2025	julio	7	27	1/7/2025	ME008	208	10
2025	julio	7	27	1/7/2025	ME008	22XU	1
2025	julio	7	27	1/7/2025	ME012	22XU	4
2025	julio	7	27	1/7/2025	ME014	22XU	6
2025	julio	7	28	1/7/2025	ME001	208	7
2025	julio	7	28	1/7/2025	ME001	22XU	1
2025	julio	7	28	1/7/2025	ME005	208	7
2025	julio	7	28	1/7/2025	ME006	22XU	3
2025	julio	7	28	1/7/2025	ME008	208	2
2025	julio	7	28	1/7/2025	ME012	22XU	2
2025	julio	7	28	1/7/2025	ME014	22XU	15
2025	julio	7	29	1/7/2025	ME001	208	7
2025	julio	7	29	1/7/2025	ME001	22XU	1
2025	julio	7	29	1/7/2025	ME005	208	7
2025	julio	7	29	1/7/2025	ME006	22XU	3
2025	julio	7	29	1/7/2025	ME008	208	2
2025	julio	7	29	1/7/2025	ME012	22XU	3
2025	julio	7	30	1/7/2025	ME001	208	6
2025	julio	7	30	1/7/2025	ME001	22XU	1
2025	julio	7	30	1/7/2025	ME005	208	7
2025	julio	7	30	1/7/2025	ME011	208	2
2025	julio	7	30	1/7/2025	ME014	22XU	15
2025	julio	7	31	1/7/2025	ME001	208	6
2025	julio	7	31	1/7/2025	ME001	22XU	1
2025	julio	7	31	1/7/2025	ME005	208	7
2025	julio	7	31	1/7/2025	ME006	22XU	2
2025	julio	7	31	1/7/2025	ME008	208	4
2025	julio	7	31	1/7/2025	ME011	208	2
2025	julio	7	31	1/7/2025	ME014	22XU	5
2025	agosto	8	31	1/8/2025	ME001	208	1
2025	agosto	8	32	1/8/2025	ME001	208	9
2025	agosto	8	32	1/8/2025	ME005	208	7
2025	agosto	8	32	1/8/2025	ME010	22XU	7
